ID,Name,Date,Main artist,Cover
4FftCsAcXXD1nFO9RFUNFO,nadie sabe lo que va a pasar mañana,2023-10-13,Bad Bunny,https://i.scdn.co/image/ab67616d0000b2737b1fc51ff3257b5286a1ecec
3RQQmkQEvNCY4prGKE6oc5,Un Verano Sin Ti,2022-05-06,Bad Bunny,https://i.scdn.co/image/ab67616d0000b27349d694203245f241a1bcaa72
2d9BCZeAAhiZWPpbX9aPCW,EL ÚLTIMO TOUR DEL MUNDO,2020-11-27,Bad Bunny,https://i.scdn.co/image/ab67616d0000b273005ee342f4eef2cc6e8436ab
4gvQO5mEuhbMSrLIuwXkmz,LAS QUE NO IBAN A SALIR,2020-05-10,Bad Bunny,https://i.scdn.co/image/ab67616d0000b273ae879683217d488c39600092
5lJqux7orBlA1QzyiBGti1,YHLQMDLG,2020-02-29,Bad Bunny,https://i.scdn.co/image/ab67616d0000b273548f7ec52da7313de0c5e4a0
6ylFfzx32ICw4L1A7YWNLN,OASIS,2019-06-28,J Balvin,https://i.scdn.co/image/ab67616d0000b2734891d9b25d8919448388f3bb
7CjJb2mikwAWA1V6kewFBF,X 100PRE,2018-12-23,Bad Bunny,https://i.scdn.co/image/ab67616d0000b2732fbd77033247e889cb7d2ac4
72GhGik5fsSeFkgpjsllVj,UN PREVIEW,2023-09-25,Bad Bunny,https://i.scdn.co/image/ab67616d0000b273c1156c6f6dedd4b9bdf89428
10eNMeTimUzAKLhCOpIUlb,K-POP,2023-07-21,Travis Scott,https://i.scdn.co/image/ab67616d0000b273893489768de0c42b4d217b82
5gCcb5fsSb6w5K8SyJrgtB,WHERE SHE GOES,2023-05-18,Bad Bunny,https://i.scdn.co/image/ab67616d0000b273ab5c9cd818ad6ed3e9b79cd1
7aGzSSUD8S6IhPCsZSiuMT,un x100to,2023-04-17,Grupo Frontera,https://i.scdn.co/image/ab67616d0000b273716c0b0ad51594ff788b5f06
2GS2h80Dp8rFdGEa0j0JhH,Gato de Noche,2022-12-22,Ñengo Flow,https://i.scdn.co/image/ab67616d0000b273ed132404686f567c8f793058
6LOhj1aK7vkGHJXtKU16PN,La Jumpa,2022-11-30,Arcángel,https://i.scdn.co/image/ab67616d0000b2731e0950bcdb5495e2038e0d14
4589OIFRZp41qbsp7TWFCx,Lo Siento BB:/ (with Bad Bunny & Julieta Venegas),2021-10-05,Tainy,https://i.scdn.co/image/ab67616d0000b273abe9c2b5f03653d6b87696e6
23zzZlUiABIg4ftZbJ7peK,Volví,2021-08-03,Aventura,https://i.scdn.co/image/ab67616d0000b27312bcec4f18ee130369ce170c
4MCZWUKxkvdMITh4KapBKX,Volando (Remix),2021-07-08,Mora,https://i.scdn.co/image/ab67616d0000b273c06f8626913962e921586190
27ei92dKdKhBVhEVA2ziRR,De Museo,2021-07-06,Bad Bunny,https://i.scdn.co/image/ab67616d0000b27316dbd686d5d99a24360be0f8
1jTRS4KS666BesH1GUHyEV,AM Remix,2021-06-24,Nio Garcia,https://i.scdn.co/image/ab67616d0000b2732ae66aa58208495074d88fd0
6VSOIs13DaSG2IPilNviX5,Yonaguni,2021-06-04,Bad Bunny,https://i.scdn.co/image/ab67616d0000b27364afd6879102d03460bd3ad9
5nqsQ0kfgdhrN8is8FR2rP,100 MILLONES,2021-05-28,Bad Bunny,https://i.scdn.co/image/ab67616d0000b273e7330f0045c65be502d01cd6
6Pd4PYQpNXE7z3Scyfv0AV,TRAP KITTY,2022-07-22,Young Miko,https://i.scdn.co/image/ab67616d0000b2734d42173bae92f075c0c5f5bb
13ldB6ttaAq7okb9DHIscN,COLMILLO,2023-10-11,Tainy,https://i.scdn.co/image/ab67616d0000b273d7badb5b6a146e47964ad577
3kHMc3S6pPS9gODoTwhDTH,CC (Remix),2023-09-29,lil joujou,https://i.scdn.co/image/ab67616d0000b273f0357063012019844b900c2b
5TWuIEEbRxkdyn9HgiV69n,Tempo,2023-08-17,Marshmello,https://i.scdn.co/image/ab67616d0000b27343c8cf394dcaf694754e4452
2tbGlA2vEm91bzj1TPy98L,DISPO,2023-08-10,KAROL G,https://i.scdn.co/image/ab67616d0000b27387b964ac70ec47e0765a9e71
68SNI4G6JbLY2CqjFXfN0n,wiggy,2023-07-21,Young Miko,https://i.scdn.co/image/ab67616d0000b2733173616d30fcc77a19742fd9
3gsIT2tGpLm0mQGRCnrZ7j,Chulo pt.2,2023-06-22,Bad Gyal,https://i.scdn.co/image/ab67616d0000b2730d45a19d3b38fb1a0be40e3a
1egkQ2UCu5EaokUNnDsvFL,ID,2023-06-02,Young Miko,https://i.scdn.co/image/ab67616d0000b273969a668a4236d0de376a51db
4io4WcuVRNAKnVUyYA5wN9,8 AM,2023-05-17,Nicki Nicole,https://i.scdn.co/image/ab67616d0000b273e0be70cad39065d97afde883
4jLqHMNoB6G1idIYYwrtgH,Brinca,2023-04-06,Cazzu,https://i.scdn.co/image/ab67616d0000b2735ffa4626a5a7db540fcb496a
4jtQUtS4ABgER3DnGfKJCv,Classy 101,2023-03-31,Feid,https://i.scdn.co/image/ab67616d0000b27329ebee2b5fb008871fcd201a
2jy7QlJB9hWgYsajBv4IOt,Lisa,2023-03-03,Young Miko,https://i.scdn.co/image/ab67616d0000b2731fcf8dc413896f0fb5749141
4KPCiL8KXZ0c6GZlb0dSRV,Pretty Bad Bitch,2023-02-24,Brray,https://i.scdn.co/image/ab67616d0000b273e5460ca2dada8bd6b5c534b6
0Zt0jTYE1PpUpKeAp9Jd45,6B (feat. Go Get Music),2023-02-09,Los G4,https://i.scdn.co/image/ab67616d0000b2733c2a2824c83bf56b748906dd
