ID,Name,Popularity,Country,Genre,Main Genre
06HL4z0CvFAxyc27GXpf02,Taylor Swift,100,US,pop,pop
3TVXtAsR1Inumwj472S9r4,Drake,98,CA,canadian hip hop,hip-hop
4q3ewBCX7sLwd24euuV69X,Bad Bunny,95,PR,reggaeton,latin music
1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,94,CA,canadian contemporary r&b,hip-hop
12GqGscKJx3aE4t07u7eVZ,Peso Pluma,93,MX,corridos tumbados,latin music
0Y5tJX1MQlPlqiwlOH1tJY,Travis Scott,92,US,hip hop,hip-hop
1McMsnEElThX1knmY4oliG,Olivia Rodrigo,91,US,pop,pop
790FomKkXshlbRYZFtlgla,KAROL G,91,CO,reggaeton,latin music
00FQb4jTyendYWaN8pK0wa,Lana Del Rey,90,US,art pop,pop
5K4W6rqBFWDnAN6FQUkS6x,Kanye West,90,US,chicago rap,hip-hop
2LRoIwlKmHjgvigdNGBHNo,Feid,90,CO,colombian pop,latin music
5pKCCKE2ajJHZ9KAiaK11H,Rihanna,89,US,barbadian pop,pop
7Gi6gjaWy3DxyilpF1a8Is,Junior H,89,MX,corrido,latin music
5cj0lLjcoR7YOSnhnX0Po5,Doja Cat,89,US,dance pop,pop
40ZNYROS4zLfyyBSs2PGe2,Zach Bryan,89,US,classic oklahoma country,country
1URnnhqYAYcrqrcwql10ft,21 Savage,89,US,atl hip hop,hip-hop
7dGJo4pcD2V6oG8kP0tJRR,Eminem,89,US,detroit hip hop,hip-hop
7tYKF4w9nC0nq9CsPZTHyP,SZA,89,US,pop,pop
6HaGTQPmzraVmaVxvz6EUc,Jung Kook,88,KR,k-pop,k-pop
6qqNVTkY8uBg9cP3Jd7DAH,Billie Eilish,88,US,art pop,pop
4oUHIQIBe0LHzYfvXNW4QM,Morgan Wallen,88,US,contemporary country,country
1mcTU81TzQhprhouKaTkpq,Rauw Alejandro,87,PR,puerto rican pop,latin music
7iK8PXO48WeuP03g8YR51W,Myke Towers,87,PR,reggaeton,latin music
2R21vXR83lH98kGeO99Y66,Anuel AA,87,PR,reggaeton,latin music
2YZyLoL8N0Wb9xBt1NhZWg,Kendrick Lamar,87,US,conscious hip hop,hip-hop
1i8SpTcr7yvPOmcqrbnVXY,Ozuna,86,PR,puerto rican pop,latin music
7Ln80lUS6He07XvHI8qqHH,Arctic Monkeys,86,GB,garage rock,rock
0EmeFodog0BfCgMzAIvKQp,Shakira,86,CO,colombian pop,latin music
53XhwfbYqKCa1cC15pYq2q,Imagine Dragons,86,US,modern rock,rock
0Q8NcsJwoCbZOHHW63su5S,Mora,86,PR,trap latino,latin music
6l3HvQ5sa6mXTsMTB19rO5,J. Cole,86,US,conscious hip hop,hip-hop
52iwsT98xCoGgiGntTiR7K,Quevedo,86,ES,rap canario,hip-hop
1Cs0zKBU1kc0i8ypK3B9ai,David Guetta,86,FR,big room,big room
5f7VJjfbwm532GiveGC0ZK,Lil Baby,86,US,atl hip hop,hip-hop
0ys2OFYzWYB5hRDLCsBqxt,Fuerza Regida,86,MX,corrido,latin music
0hCNtLu0JehylgoiP8L4Gh,Nicki Minaj,86,US,hip pop,pop
66ihevNkSYNzRAl44dx6jJ,Carin Leon,86,MX,corrido,latin music
6XkjpgcEsYab502Vr1bBeW,Grupo Frontera,86,MX,musica chihuahuense,musica chihuahuense
0elWFr7TW8piilVRYJUe4P,Natanael Cano,86,MX,corrido,latin music
6M2wZ9GZgrQXHCFfjv46we,Dua Lipa,86,GB,dance pop,pop
1vyhD5VmyZ7KMfW5gqLgo5,J Balvin,85,CO,reggaeton,latin music
4O15NlyKLIASxsJ0PrXPfz,Lil Uzi Vert,85,US,hip hop,hip-hop
55Aa2cqylxrFIXC767Z865,Lil Wayne,85,US,hip hop,hip-hop
2hlmm7s2ICUX0LVIhVFlZQ,Gunna,85,US,atl hip hop,hip-hop
6vWDO969PvNqNYHIOW5v0m,Beyoncé,85,US,pop,pop
699OTQXzgjhIYAHMy9RyPD,Playboi Carti,85,US,atl hip hop,hip-hop
1r4hJ1h58CWwUQe3MxPuau,Maluma,85,CO,latin pop,latin music
716NhGYqD1jl2wI1Qkgq36,Bizarrap,85,AR,argentine hip hop,latin music
7CajNmpbOovFoOoasH2HaY,Calvin Harris,85,GB,dance pop,pop
6KImCVD70vtIoJWnq6nGn3,Harry Styles,85,GB,pop,pop
4V8LLVI7PbaPR0K2TGSxFF,"Tyler, The Creator",84,US,hip hop,hip-hop
3MdXrJWsbVzdn6fe5JYkSQ,Latto,84,US,trap queen,hip-hop
2wY79sveU1sp5g7SokKOiI,Sam Smith,84,GB,pop,pop
6nVcHLIgY5pE2YCl8ubca1,Jhayco,84,PR,reggaeton,latin music
1U1el3k54VvEUzo3ybLPlM,Kali Uchis,83,US,colombian pop,latin music
1HY2Jd0NmPuamShAr6KMms,Lady Gaga,83,US,art pop,pop
77SW9BnxLY8rJ0RciFqkHh,The Neighbourhood,83,US,modern alternative rock,rock
2h93pZq0e7k5yf4dywlkpM,Frank Ocean,83,US,lgbtq+ hip hop,hip-hop
2RQXRUsr4IW1f3mKyKsy4B,Noah Kahan,83,US,pov: indie,indie
1bAftSH8umNcGZ0uyV7LMg,Duki,83,AR,argentine hip hop,latin music
0tmwSHipWxN12fsoLcFU3B,Manuel Turizo,83,CO,colombian pop,latin music
5XJDexmWFLWOkjOEjOVX3e,Eladio Carrion,83,PR,trap boricua,hip-hop
4SsVbpTthjScTS7U2hmr1X,Arcángel,82,PR,latin hip hop,latin music
3nFkdlSjzX9mRTtwJOzDYB,JAY-Z,82,US,east coast hip hop,hip-hop
1DxLCyH42yaHKGK3cl5bvG,Maria Becerra,82,AR,pop argentino,latin music
0tmwSHipWxN12fsoLcFU3B,Manuel Turizo,82,CO,colombian pop,latin music
3qsKSpcV3ncke3hw52JSMB,Young Miko,82,PR,trap latino,latin music
64KEffDW9EtZ1y2vBYgq8T,Marshmello,82,US,brostep,edm
3qiHUAX7zY4Qnjx8TNUzVx,Yeat,82,US,pluggnb,pluggnb
19HM5j0ULGSmEoRcrSe5x3,Milo j,82,AR,trap argentino,latin music
5Pwc4xIPtQLFEnJriah9YJ,OneRepublic,82,US,piano rock,rock
6Sbl0NT50roqWvy746MfVf,Gabito Ballesteros,82,MX,corrido,latin music
2uYWxilOVlUdk4oV9DvwqK,Mitski,82,US,brooklyn indie,indie
45dkTj5sMRSjrmBSBeiHym,Tate McRae,82,CA,alt z,alt z
2LIk90788K0zvyj2JJVwkJ,Jack Harlow,82,US,deep underground hip hop,hip-hop
2o5jDhtHVPhrJdv3cEQ99Z,Tiësto,82,NL,big room,big room
3hcs9uc56yIGFCSy9leWe7,Lil Durk,82,US,chicago drill,hip-hop
5lwmRuXgjX8xIwlnauTZIP,Romeo Santos,81,US,bachata,latin music
6VuMaDnrHyPL1p4EHjYLi7,Charlie Puth,81,US,pop,pop
6Ip8FS7vWT1uKkJSweANQK,Dave,81,US,uk hip hop,hip-hop
5H4yInM5zmHqpKIoMNAx4r,Central Cee,81,GB,melodic drill,hip-hop
7n2wHs1TKAczGzO7Dd2rGr,Shawn Mendes,81,CA,canadian pop,pop
4Ga1P7PMIsmqEZqhYZQgDo,Lil Tecca,81,US,melodic rap,hip-hop
4Gso3d4CscCijv0lmajZWs,Don Toliver,81,US,pop rap,hip-hop
1dKdetem2xEmjgvyymzytS,Grupo Firme,81,MX,musica mexicana,latin music
13ubrt8QOOCPljQ2FL1Kca,A$AP Rocky,81,US,east coast hip hop,hip-hop
7ltDVBr6mKbRvohxheJ9h1,ROSALÍA,81,ES,latin viral pop,latin music
3wcj11K77LjEY1PkEazffa,Burna Boy,81,NG,afrobeats,edm
3PhoLpVuITZKcymswpck5b,Elton John,81,GB,glam rock,rock
33ScadVnbm2X8kkUqOkC6Z,Don Omar,81,PR,latin hip hop,latin music
08GQAI4eElDnROBrJRGE0X,Fleetwood Mac,81,GB,album rock,rock
07YUOmWljBTXwIseAUd9TW,Sebastian Yatra,80,CO,colombian pop,latin music
0XeEobZplHxzM9QzFQWLiR,Eslabon Armado,80,US,corrido,latin music
31W5EY0aAly4Qieq6OFu6I,A Boogie Wit da Hoodie,80,US,melodic rap,hip-hop
12vb80Km0Ew53ABfJOepVz,Ñengo Flow,80,PR,reggaeton,latin music
06Q5VlSAku57lFzyME3HrM,Ke Personajes,80,AR,cumbia pop,latin music
20wkVLutqVOYrc0kxFs7rA,Daniel Caesar,80,CA,trap italiana,hip-hop
0pePYDrJGk8gqMRbXrLJC8,Luis R Conriquez,80,MX,corrido,latin music
2O8vbr4RYPpk6MRA4fio7u,Saiko,80,CL,urbano espanol,latin music
7j6DKwmjbxvpQO8h914uEz,Ryan Castro,80,CO,reggaeton,latin music
0GM7qgcRCORpGnfcN2tCiB,Tainy,80,PR,pop reggaeton,latin music
6Xgp2XMz1fhVYe7i6yNAax,Trippie Redd,80,US,melodic rap,hip-hop
77ziqFxp5gaInVrF2lj4ht,Sech,79,PA,panamanian pop,pop
4obzFoKoKRHIphyHzJ35G3,Becky G,79,US,latin pop,latin music
37230BxxYs9ksS7OkZw3IU,Chencho Corleone,79,PR,reggaeton,latin music
5LHRHt1k9lMyONurDHEdrp,Tyga,79,US,hip hop,hip-hop
5KKpBU5eC2tJDzf0wmlRp2,RAYE,79,GB,uk contemporary r&b,hip-hop
4nDoRrQiYLoBzwC5BhVJzF,Camila Cabello,79,US,dance pop,pop
4r63FhuTkUYltbVAg5TQnk,DaBaby,79,US,hip hop,hip-hop
5Y3MV9DZ0d87NnVm56qSY1,Tiago PZK,79,AR,trap argentino,latin music
2UZIAOlrnyZmyzt1nuXr9y,Nicki Nicole,79,AR,argentine hip hop,latin music
4DdkRBBYG6Yk9Ka8tdJ9BW,Offset,79,US,atl hip hop,hip-hop
64M6ah0SkkRsnPGtGiRAbb,Bebe Rexha,79,US,dance pop,pop
