SongID,SongName,Artist1ID,Artist1Name,Artist2ID,Artist2Name
3nNmRE0DxHC6ZaKkrpUumS,FINA,4q3ewBCX7sLwd24euuV69X,Bad Bunny,3qsKSpcV3ncke3hw52JSMB,Young Miko
4qSEvFGCpde73gqIuq3sho,HIBIKI,4q3ewBCX7sLwd24euuV69X,Bad Bunny,0Q8NcsJwoCbZOHHW63su5S,Mora
1YnChEM51BVZ5dRhbVFEMl,SEDA,4q3ewBCX7sLwd24euuV69X,Bad Bunny,6w9ToX5slZ4uIdmD17hJ3c,Bryant Myers
01ppKlDRCmPpusO3yNrSRY,TELEFONO NUEVO,4q3ewBCX7sLwd24euuV69X,Bad Bunny,4axKuDPr6WKcDCyh8vueTY,Luar La L
3TYOH7ta0101NYssoH5GlU,MERCEDES CAROTA,4q3ewBCX7sLwd24euuV69X,Bad Bunny,4aSlfXDn9R60UlbZEboBUy,YOVNGCHIMI
4pcafPzLDSqQktqSpxHL3E,THUNDER Y LIGHTNING,4q3ewBCX7sLwd24euuV69X,Bad Bunny,5XJDexmWFLWOkjOEjOVX3e,Eladio Carrion
7iQXYTyuG13aoeHxGG28Nh,PERRO NEGRO,4q3ewBCX7sLwd24euuV69X,Bad Bunny,2LRoIwlKmHjgvigdNGBHNo,Feid
1C7lXfx4Y5maVl4AgUVlHA,ACHO PR,4q3ewBCX7sLwd24euuV69X,Bad Bunny,4SsVbpTthjScTS7U2hmr1X,Arcángel
1C7lXfx4Y5maVl4AgUVlHA,ACHO PR,4q3ewBCX7sLwd24euuV69X,Bad Bunny,3EiLUeyEcA6fbRPSHkG5kb,De La Ghetto
1C7lXfx4Y5maVl4AgUVlHA,ACHO PR,4q3ewBCX7sLwd24euuV69X,Bad Bunny,12vb80Km0Ew53ABfJOepVz,Ñengo Flow
1C7lXfx4Y5maVl4AgUVlHA,ACHO PR,4SsVbpTthjScTS7U2hmr1X,Arcángel,3EiLUeyEcA6fbRPSHkG5kb,De La Ghetto
